subgroup,n,hr_reported,S24_ctrl,S24_trt,RMST24_ctrl,RMST24_trt,dS24,dRMST24,boot
Codeleted,172,0.33368632700769296,0.16291429735303498,0.5458099941516762,13.544390181991375,19.296688596201143,0.3828956967986412,5.752298414209768,37
Non-codeleted,159,0.5556305395533353,0.3156839938385249,0.5269499866107995,15.414962530345944,18.5254437082085,0.2112659927722746,3.110481177862555,37
Codeleted,172,0.28222001804800007,0.3427730224762898,0.7392129046377955,15.556418080059146,21.037594629678107,0.3964398821615057,5.4811765496189615,38
Non-codeleted,159,0.4884133520380707,0.11829264130024487,0.35254945700262397,13.053582267307503,17.136847599195196,0.2342568157023791,4.083265331887693,38
Codeleted,172,0.3846279145633564,0.19134793252414617,0.5293821682521344,13.950804653120858,19.01108401793327,0.3380342357279882,5.060279364812413,39
Non-codeleted,159,0.4360462578635383,0.2755045213502936,0.5699938729010939,14.762887373474692,19.108623072296353,0.29448935155080036,4.345735698821661,39
Codeleted,172,0.3660010357775347,0.09624429087231329,0.42453554042030495,12.78216287965664,18.241387964540223,0.32829124954799166,5.459225084883583,40
Non-codeleted,159,0.40032811583755756,0.37873402416058344,0.6779463909705961,15.85587843334814,20.143857165651987,0.2992123668100126,4.287978732303847,40
Codeleted,172,0.28759829203171605,0.36747407072355953,0.7498249973873746,16.017714360780168,21.18830450063794,0.3823509266638151,5.170590139857772,41
Non-codeleted,159,0.4284615317091074,0.07797992115107714,0.3351637742437263,12.257332423122117,17.075725577376673,0.25718385309264913,4.818393154254556,41
Codeleted,172,0.22513118511662705,0.36758739063345497,0.7982686909261687,15.966954122589684,21.74123298521866,0.43068130029271373,5.774278862628975,42
Non-codeleted,159,0.5288859809278595,0.09267762583607006,0.28421522499335533,12.62407237622329,16.310351830582903,0.19153759915728527,3.686279454359612,42
Codeleted,172,0.27874372668574926,0.34055734602257925,0.7406293830038307,15.712958757289398,21.127992054931248,0.4000720369812515,5.41503329764185,43
Non-codeleted,159,0.47142556400286323,0.105960112305214,0.3470779888568846,12.79151906813553,17.09020885476108,0.2411178765516706,4.29868978662555,43
Codeleted,172,0.36859002436901334,0.18501661419699741,0.5369095340950663,13.837617270899996,19.109479314321725,0.3518929198980688,5.271862043421729,44
Non-codeleted,159,0.5237267409154769,0.29407375176819117,0.5267642502676064,15.15363167097113,18.589851992007596,0.23269049849941525,3.4362203210364655,44
Codeleted,172,0.3891551404963311,0.18685804292498384,0.5206010115349287,13.958593327284213,18.955108438944027,0.3337429686099448,4.996515111659814,45
Non-codeleted,159,0.458912797392382,0.2890950181537452,0.5658021639861769,14.976118455473253,19.041031879926713,0.27670714583243167,4.06491342445346,45
Codeleted,172,0.28254836744302986,0.3718326111003845,0.7561402478493946,16.046425100903058,21.248072900109907,0.3843076367490101,5.2016477992068495,46
Non-codeleted,159,0.46100519872532125,0.08035123600469599,0.31274882472246,12.364156968468865,16.785441741419866,0.23239758871776403,4.421284772951001,46
Codeleted,172,0.19483611994101419,0.4687919410504261,0.8627699637622133,17.926767950303667,22.58990336584949,0.39397802271178717,4.663135415545824,47
Non-codeleted,159,0.33094706340422186,0.009919189571727303,0.21723966027375707,10.12941258311087,16.04770468003125,0.20732047070202977,5.9182920969203785,47
Codeleted,172,0.21688776124503986,0.43736339574986627,0.8358014018888893,17.26924466779891,22.240586752670616,0.398438006139023,4.971342084871704,48
