subgroup,n,hr_reported,S24_ctrl,S24_trt,RMST24_ctrl,RMST24_trt,dS24,dRMST24,boot
Frontal lobe,222,0.5213144077552994,0.21581551902940202,0.4496221009779933,14.425102679719576,18.004885054550936,0.2338065819485913,3.5797823748313604,40
Nonfrontal lobe,109,0.20971099210270566,0.2447180338705925,0.7443830932830179,14.105926598968669,21.191751114121196,0.4996650594124254,7.085824515152527,40
Frontal lobe,222,0.43284210068160045,0.1382768161510944,0.4246978426378917,13.29716723526621,17.95843091039562,0.28642102648679724,4.66126367512941,41
Nonfrontal lobe,109,0.2296870063416153,0.3926020560382725,0.8067447802054026,16.09246265035176,21.75657867878704,0.41414272416713016,5.664116028435281,41
Frontal lobe,222,0.3583296605968454,0.08863062807122912,0.41965067897373176,12.441861938525497,18.110666647201146,0.33102005090250264,5.6688047086756495,42
Nonfrontal lobe,109,0.3045451023578787,0.5235403892190164,0.8211219227269164,17.90632704141834,21.871338794942197,0.29758153350790006,3.965011753523857,42
Frontal lobe,222,0.42252455745036344,0.1431293453492416,0.4398195628845318,13.415660648190629,18.157655065167823,0.2966902175352902,4.741994416977194,43
Nonfrontal lobe,109,0.2610570388042254,0.3868004304785301,0.7803879315003508,16.050020555101728,21.454044761481306,0.3935875010218207,5.404024206379578,43
Frontal lobe,222,0.5241570263136044,0.2665600668591066,0.5000649528920743,15.1365646360217,18.535052341423842,0.2335048860329677,3.398487705402143,44
Nonfrontal lobe,109,0.3005717344047291,0.17732157377710464,0.594564394996249,13.106490805924597,19.536301933052417,0.41724282121914436,6.42981112712782,44
Frontal lobe,222,0.5465779947034953,0.28597567401032203,0.5044770481684414,15.36482987864623,18.527283069472162,0.21850137415811938,3.162453190825932,45
Nonfrontal lobe,109,0.25181629529678007,0.14126313740399454,0.6108904547169909,12.642225121740937,19.880047940031233,0.46962731731299634,7.2378228182902955,45
Frontal lobe,222,0.42696685460962,0.1260058527487464,0.41294911727508393,13.123931307239133,17.871434118223895,0.28694326452633756,4.747502810984763,46
Nonfrontal lobe,109,0.25335565353122375,0.4297796343816783,0.8073851239246792,16.576512081716984,21.731095653689263,0.3776054895430009,5.154583571972278,46
Frontal lobe,222,0.32052380505040523,0.04345223863243876,0.36597401289982034,11.392639458624368,17.679096925341582,0.3225217742673816,6.286457466717215,47
Nonfrontal lobe,109,0.16251201052898473,0.6272705741492746,0.9270090715976531,19.669359926985866,23.207683625156424,0.29973849744837855,3.538323698170558,47
Frontal lobe,222,0.3481644387578177,0.06308975558765134,0.38210978048699207,11.85316681219621,17.74015968070141,0.3190200248993407,5.8869928685051995,48
Nonfrontal lobe,109,0.1880747600846519,0.5671152856407148,0.8988180620341212,18.726306346555532,22.859161453609673,0.3317027763934064,4.132855107054141,48
Frontal lobe,222,0.5146167783369374,0.20283655299475992,0.4399929866949282,14.306463342359496,17.96015591098517,0.23715643370016828,3.6536925686256723,49
Nonfrontal lobe,109,0.19376379314147485,0.2568937622611197,0.7684782430407129,14.23617430635053,21.442584538323203,0.5115844807795932,7.206410231972672,49
